                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.89093,                0.47394,                0.91916,                0.92097,                 0.9079,                0.96576,                0.72304,                0.95411,                0.48684,                0.93801,               0.000794,               0.000794,               0.000794
                     69,                0.88806,                0.47264,                0.91165,                0.92483,                0.91909,                0.97052,                0.72681,                0.96937,                0.48834,                0.94147,               0.000776,               0.000776,               0.000776
                     70,                0.87297,                0.46243,                0.90839,                0.92326,                0.90715,                0.96621,                0.73024,                0.95911,                0.49376,                0.94178,               0.000758,               0.000758,               0.000758
                     71,                0.87534,                0.46533,                0.91539,                0.91367,                0.92209,                0.96349,                0.72368,                0.95671,                0.49399,                0.93721,                0.00074,                0.00074,                0.00074
                     72,                0.87707,                0.46533,                0.91099,                 0.9148,                0.92816,                0.96737,                0.72698,                0.96258,                0.49431,                0.93888,               0.000722,               0.000722,               0.000722
                     73,                0.86812,                0.45889,                0.90921,                0.93347,                0.91336,                0.96719,                0.72773,                0.95891,                0.49278,                0.93848,               0.000704,               0.000704,               0.000704
                     74,                0.86996,                0.45387,                0.90836,                0.92956,                 0.9154,                0.96496,                0.72745,                0.95984,                0.48013,                0.93638,               0.000686,               0.000686,               0.000686
                     75,                0.86439,                0.46251,                0.90874,                0.91994,                0.92316,                0.96672,                0.72074,                0.96961,                0.49087,                0.94528,               0.000668,               0.000668,               0.000668
                     76,                0.87077,                0.46015,                 0.9041,                0.92174,                  0.905,                0.96668,                 0.7264,                0.96173,                0.47923,                0.94184,                0.00065,                0.00065,                0.00065
                     77,                0.87369,                0.46579,                0.91012,                0.91358,                0.92529,                0.96928,                0.72852,                0.97088,                0.47976,                0.93729,               0.000632,               0.000632,               0.000632
                     78,                0.86126,                0.45332,                0.90431,                0.90592,                0.93063,                 0.9684,                  0.733,                0.95405,                0.47185,                0.93456,               0.000614,               0.000614,               0.000614
                     79,                0.86002,                0.45837,                0.90703,                0.89689,                0.93764,                0.96665,                0.72772,                0.94726,                0.48559,                0.93823,               0.000596,               0.000596,               0.000596
                     80,                0.87574,                0.45979,                0.90938,                 0.9194,                0.92516,                   0.97,                0.73249,                0.94109,                 0.4759,                0.93258,               0.000578,               0.000578,               0.000578
                     81,                0.85543,                0.45551,                0.90277,                0.91293,                0.93597,                0.97182,                0.73772,                0.94965,                0.47741,                0.93535,                0.00056,                0.00056,                0.00056
                     82,                0.86077,                0.44903,                0.90254,                  0.926,                0.92143,                0.97069,                0.73878,                0.94098,                0.47121,                0.93252,               0.000542,               0.000542,               0.000542
                     83,                0.85892,                0.44944,                 0.9069,                0.91165,                0.93276,                0.96586,                0.72729,                0.95338,                0.48464,                0.93657,               0.000524,               0.000524,               0.000524
